audit_id,table_name,record_id,operation,changed_by,change_time,change_summary
952,accounts,980,DELETE,system,2020-12-25,Created record
953,loan_applications,277,DELETE,system,2020-04-28,Corrected amount
954,branches,188,DELETE,system,2021-07-05,Automated job
955,employees,58,DELETE,system,2019-03-20,Removed duplicate
956,loans,850,UPDATE,admin,2025-08-25,Updated status
957,loans,502,DELETE,emp2,2023-09-10,Created record
958,employees,779,DELETE,emp207,2018-09-07,Created record
959,customers,985,DELETE,admin,2022-05-28,Corrected amount
960,credit_reports,239,UPDATE,emp4,2019-05-17,Updated status
961,payments,832,DELETE,emp600,2023-11-21,Automated job
962,customers,664,INSERT,system,2024-06-01,Removed duplicate
963,employees,93,DELETE,admin,2020-06-16,Corrected amount
964,accounts,486,DELETE,system,2018-06-28,Created record
965,payments,105,INSERT,admin,2023-12-25,Removed duplicate
966,accounts,268,UPDATE,emp203,2019-05-21,Corrected amount
967,accounts,109,DELETE,emp968,2022-05-19,Corrected amount
968,accounts,185,UPDATE,admin,2018-02-08,Removed duplicate
969,payment_schedule,420,UPDATE,system,2022-01-03,Removed duplicate
970,loan_applications,555,UPDATE,system,2020-01-23,Automated job
971,employees,661,INSERT,system,2020-12-29,Automated job
972,customers,199,UPDATE,system,2022-08-27,Removed duplicate
973,employees,164,INSERT,emp720,2021-05-11,Automated job
974,customers,443,DELETE,system,2018-11-03,Corrected amount
975,loan_applications,486,DELETE,admin,2019-07-12,Created record
976,payments,981,INSERT,admin,2018-12-07,Updated status
977,payments,539,INSERT,admin,2018-07-15,Updated status
978,loans,591,UPDATE,system,2019-12-24,Updated status
979,customers,508,INSERT,admin,2018-11-11,Updated status
980,loan_applications,29,DELETE,emp729,2020-02-13,Removed duplicate
981,employees,532,DELETE,admin,2021-03-25,Automated job
982,accounts,507,DELETE,system,2023-05-03,Removed duplicate
983,payment_schedule,304,UPDATE,emp193,2021-04-02,Corrected amount
984,customers,118,DELETE,system,2022-02-06,Corrected amount
985,employees,554,UPDATE,emp488,2023-02-14,Removed duplicate
986,branches,267,INSERT,admin,2019-12-14,Automated job
987,employees,490,UPDATE,system,2019-01-05,Removed duplicate
988,credit_reports,279,UPDATE,admin,2024-04-16,Updated status
989,payments,219,INSERT,system,2018-06-14,Created record
990,credit_reports,172,DELETE,admin,2022-03-02,Corrected amount
991,payment_schedule,481,INSERT,emp170,2018-05-30,Removed duplicate
992,payments,986,INSERT,admin,2018-06-24,Automated job
993,branches,390,DELETE,system,2019-08-01,Updated status
994,accounts,654,UPDATE,admin,2023-05-28,Corrected amount
995,loan_applications,131,DELETE,admin,2024-01-07,Updated status
996,loan_products,565,UPDATE,system,2024-10-23,Automated job
997,branches,372,DELETE,system,2019-04-25,Automated job
998,credit_reports,526,INSERT,system,2021-04-25,Created record
999,employees,889,DELETE,emp535,2020-08-09,Corrected amount
1000,payments,463,INSERT,emp720,2022-09-28,Created record
